"2Bg"|2|"B"|||76|76|||150|||||0|0|0|0|0|0|100|100|100|100|100|100|65|82.5|100|51|75.5|100||21.9|||1.8|||2.4|||2.2|||6.7|||8.8|||55.1||||||||10|23|32||||0|0.25|0.5||||1.4|1.45|1.5||||1.47|1.54|1.58||0.42|7.27|14.11|0.15|0.16|0.22||||12.6|27.5|32.5|5.7|13.6|19.2|41|42|45|0|1.5|2.9|20|30|41|6|14|55|0|8|23|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|8|17.9|24.3||||7|16|24|5.6|7|8.4|||||||||||||||||||||||||||||||||"16451272"|"47852373"
"Ap"||"A"|||0|0|||30|||||0|0|0|0|0|0|100|100|100|98|99|100|95|97.5|100|90|95|100||17.1|||1.5|||2.1|||2.9|||5.3|||5.3|||27.9||||||||35|55|75||||1|2|3||||1.45|1.5|1.55||||1.82|1.87|1.94||0|0.21|0.42|0.15|0.18|0.2||||24.3|37.4|40.5|22|32.4|36.4|38|40|42|6|7.5|8.9|47|67|87|25|40|55|24|44|66|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|26.8|40.5|53.6||||22|37|54|5.6|6.7|7.8|||||||||||||||||||||||||||||||||"16451272"|"47852374"
"Bssg"||"B"|||30|30|||76|||||0|0|0|0|0|0|100|100|100|98|99|100|95|97.5|100|90|95|100||17.1|||1.5|||2.1|||2.9|||5.3|||5.3|||27.9||||||||35|55|75||||0|0.25|0.5||||1.45|1.5|1.55||||1.82|1.87|1.94||0|0.21|0.42|0.15|0.18|0.2||||23.8|37.4|40.5|20.8|30.4|36.4|39|41|43|6|7.5|8.9|45|63|81|25|40|55|23|42|64|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|23.5|37.8|50.5||||19|35|51|5.6|6.7|7.8|||||||||||||||||||||||||||||||||"16451272"|"47852375"
"3Cg"|3|"C"|||150|150|||216|||||0|0|0|0|0|0|100|100|100|95|97.5|100|65|82.5|100|51|75.5|100||41.6|||3.9|||5.4|||7.3|||13|||12|||37.4||||||||10|21|32||||0|0.25|0.5||||1.4|1.45|1.5||||1.47|1.52|1.58||0.42|7.27|14.11|0.1|0.16|0.22||||12.6|27.5|32.5|5.6|12.3|19.2|40|42|45|0|1.5|2.9|20|30|41|6|14|55|0|8|23|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|8|16.5|24.3||||7|16|24|5.6|7|8.4|||||||||||||||||||||||||||||||||"16451272"|"47852376"
"Ap"||"A"||||0|||33|||||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|85|92.5|100||21.4|||0.1|||0.4|||1.3|||5.9|||13.7|||69.6||||||||0|9|18||||0.5|1.75|3||||1.3|1.48|1.65|||||1.55|||4.23|9.17|14.11|0.18|0.21|0.23|||||23.6|||7.8|||41||0|1.5|2.9|0|24|35|0|5|12|0|3|13|".55"|".55"|0|3|5|0|0|0|0|0|0||||8|14|20|||||||5.6|7.3|9|||||||||||||||||||||||||||||||||"16451273"|"47852377"
"C"||"C"||||33|||152|||||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|75|87.5|100||21.4|||0.1|||0.4|||1.3|||5.9|||13.7|||69.6||||||||0|9|18||||0.5|0.75|1||||1.3|1.48|1.65|||||1.55|||4.23|9.17|14.11|0.2|0.22|0.23|||||22|||6.4|||42||0|1.5|2.9|0|22|31|0|5|12|0|2|11|".64"|".64"|0|3|5|0|0|0|0|0|0||||5|13.5|22|||||||5.6|7.3|9|||||||||||||||||||||||||||||||||"16451273"|"47852378"
"Ap"||"A"|||0|0|0|10|58|58||58||0|0|0|0|0|0|100|100|100|100|100|100|98|100|100|92|95|99|7|7.7|8.3|0|0.1|0.2|0|0.2|0.2|0.2|0.4|1.6|0.5|0.7|2.3|4.5|6.3|7.1|63.6|70.2|72.6|23.8|33|37|35.6|37.2|39.8|19.2|22.1|29.2|0|0|0|0.5|2.25|4||||1.27|1.38|1.53||||1.33|1.44|1.59||4.23|9.17|14.11|0.21|0.22|0.23||||22.3|29.8|33.5|11.2|15|21|39|44|48|0|1.5|2.9|29|36|47|12|15|20|9|13|23|".37"|".37"|0|0|0|0|0|0|0|0|0|0|1|2|15.6|18.7|24.6||||3|9|15|5.1|5.7|7.8|5.1|5.8|7.8|||||||0.2|12.9|19.6|||||||||||||||||||||"16451274"|"47852379"
"Bg"||"B"|||10|58|109|30|170|170||112||0|0|0|0|0|0|100|100|100|100|100|100|88|98|100|75|91|100|1.4|12|29.5|0|0.6|0.6|0|1|2|0.2|1.6|1.6|0.4|3.8|3.8|0.8|5|27.4|25.9|58.3|67.1|4.5|22.2|34.8|21.4|36.1|47.5|19|29.7|48.1|0|0|0|0.5|0.75|1||||1.28|1.38|1.47||||1.47|1.57|1.6||1.41|2.82|4.23|0.2|0.21|0.22||||20.1|31.3|36.6|11.1|17.3|27|42|45|49|3|4.5|5|31|41|58|13|21|35|8|18|38|".43"|".43"|0|2|3|0|0|0|0|0|0|0|0|0|15.4|23.4|36.6||||9|19|30|7.4|8|8.4|7|7.5|7.8|||||||0|3.1|12.8|||||||||||||||||||||"16451274"|"47852380"
"BCg"||"BC"|||56|170|188|81|203|203||33||0|0|0|0|0|0|100|100|100|100|100|100|92|100|100|86|98|100|2.1|2.3|34.9|0|0.1|1|0|0.2|0.2|0.2|0.3|0.4|0.3|0.7|1|0.8|1|24.2|40.4|67.1|77|19.6|26.1|32.6|20.8|41|47.6|19.6|30.6|34.6|0|0|0|0.5|0.75|1||||1.35|1.37|1.39||||1.41|1.43|1.49||1.41|7.76|14.11|0.2|0.22|0.23||||20.3|31.5|33|11.4|17.7|20.1|45|45|46|0|1.5|2.9|25|37|49|4|18|28|8|10|13|".43"|".43"|0|4|5|0|0|0|0|0|0|0|0|0|15.9|24.1|27.2||||9|25|40|7.9|8.3|8.4|7|7.5|7.8|||||||0|2|5.6|||||||||||||||||||||"16451274"|"47852381"
"Ap"||"A"||||0|||28||15|22|30|0|0|0|0|0|0|100|100|100|100|100|100|100|100|100|95|97.5|100|0.5|1.8|3||0.1|||0.1|||0.2|||0.6|||0.8|||53.2||||||||40|45|50||0||0.5|2.25|4||||1.35|1.5|1.65||||1.56|1.71|1.78||0.42|0.92|1.41|0.18|0.2|0.22||||27.6|33.6|35.9|22.6|27.6|32.4|34|40|45|3|4.5|5.9|40|57|66|28|32|36|29|35|43|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|10|17.5|25||||6|15|25|5.6|7|8.4|||||||||||||||||||||||||||||||||"16451280"|"47852382"
