"ss"|"47852388"|"18534260"
"g"|"47852388"|"18534261"
"ss"|"47852387"|"18534258"
"g"|"47852387"|"18534259"
"p"|"47852386"|"18534257"
"ss"|"47852385"|"18534294"
"g"|"47852385"|"18534295"
"b"|"47852384"|"18534297"
"g"|"47852383"|"18534296"
"p"|"47852382"|"18534262"
"g"|"47852381"|"18534245"
"g"|"47852380"|"18534244"
"p"|"47852379"|"18534243"
"p"|"47852377"|"18534256"
"g"|"47852376"|"18534254"
"g"|"47852375"|"18534252"
"ss"|"47852375"|"18534253"
"p"|"47852374"|"18534251"
"g"|"47852373"|"18534255"
"ss"|"47852372"|"18534247"
"g"|"47852372"|"18534248"
"b"|"47852371"|"18534250"
"g"|"47852370"|"18534249"
"p"|"47852369"|"18534246"
