"A-4"|No |"47852597"|"78430715"
"A-6"|Yes|"47852597"|"78430716"
"A-7"|Yes|"47852596"|"78430847"
"A-7"|Yes|"47852595"|"78430846"
"A-6"|No |"47852600"|"78430843"
"A-7-5"|No |"47852600"|"78430844"
"A-7-6"|Yes|"47852600"|"78430845"
"A-7-5"|Yes|"47852599"|"78430841"
"A-7-6"|No |"47852599"|"78430842"
"A-7-5"|Yes|"47852598"|"78430713"
"A-7-6"|No |"47852598"|"78430714"
"A-7-5"|No |"47852533"|"78430581"
"A-7-6"|Yes|"47852533"|"78430582"
"A-6"|No |"47852533"|"78430583"
"A-7-5"|Yes|"47852532"|"78430709"
"A-7-6"|No |"47852532"|"78430710"
"A-7-5"|Yes|"47852531"|"78430579"
"A-7-6"|No |"47852531"|"78430580"
"A-4"|No |"47852536"|"78430707"
"A-6"|Yes|"47852536"|"78430708"
"A-7"|Yes|"47852535"|"78430450"
"A-7"|Yes|"47852534"|"78430449"
"A-4"|No |"47852398"|"78430692"
"A-6"|Yes|"47852398"|"78430693"
"A-7"|Yes|"47852397"|"78430812"
"A-7"|Yes|"47852396"|"78430691"
"A-6"|No |"47852388"|"78430637"
"A-7-5"|No |"47852388"|"78430638"
"A-7-6"|Yes|"47852388"|"78430639"
"A-7-5"|Yes|"47852387"|"78430762"
"A-7-6"|No |"47852387"|"78430763"
"A-7-5"|Yes|"47852386"|"78430635"
"A-7-6"|No |"47852386"|"78430636"
"A-7-6"|Yes|"47852385"|"78430502"
"A-6"|No |"47852384"|"78430505"
"A-7-6"|Yes|"47852384"|"78430506"
"A-6"|No |"47852383"|"78430503"
"A-7-6"|Yes|"47852383"|"78430504"
"A-6"|No |"47852382"|"78430764"
"A-7-6"|Yes|"47852382"|"78430765"
"A-4"|No |"47852381"|"78430499"
"A-6"|No |"47852381"|"78430500"
"A-6"|Yes|"47852381"|"78430501"
"A-7-6"|Yes|"47852380"|"78430497"
"A-7-6"|No |"47852380"|"78430498"
"A-6"|No |"47852379"|"78430495"
"A-6"|Yes|"47852379"|"78430496"
"A-4"|Yes|"47852378"|"78430634"
"A-4"|Yes|"47852377"|"78430761"
"A-4"|No |"47852376"|"78430865"
"A-6"|Yes|"47852376"|"78430866"
"A-7-6"|Yes|"47852375"|"78430864"
"A-7-6"|Yes|"47852374"|"78430863"
"A-7-6"|Yes|"47852372"|"78430758"
"A-6"|No |"47852371"|"78430759"
"A-7-6"|Yes|"47852371"|"78430760"
"A-6"|No |"47852370"|"78430632"
"A-7-6"|Yes|"47852370"|"78430633"
"A-6"|No |"47852369"|"78430630"
"A-7-6"|Yes|"47852369"|"78430631"
