"smectitic"|"16451242"|"12924551"
"mixed"|"16451242"|"12924552"
"smectitic"|"16451243"|"12924553"
"smectitic"|"16451271"|"12924572"
"smectitic"|"16451272"|"12924573"
"mixed"|"16451272"|"12924574"
"mixed"|"16451273"|"12924575"
"mixed"|"16451274"|"12924576"
"mixed"|"16451279"|"12924580"
"smectitic"|"16451279"|"12924581"
"smectitic"|"16451280"|"12924582"
"smectitic"|"16451281"|"12924583"
"mixed"|"16451286"|"12924586"
"smectitic"|"16451286"|"12924587"
"smectitic"|"16451351"|"12924621"
"smectitic"|"16451352"|"12924622"
"mixed"|"16451352"|"12924623"
